number,value,ELITE_SIZE,POP_SIZE,P_CROSSOVER_MAX,P_CROSSOVER_MIN,crossover_type,k,mutation_rate,rosenbrock_mean,salomon_mean,whitley_mean
284,31.58356393802502,4,30,0.8388771842384469,0.13110414213881097,two_point,2,0.014112568409151842,35.731804074787256,0.2998733473237101,58.71901439196408
1010,31.629760175633294,4,26,0.8229106026854877,0.27610229734839364,one_point,4,0.01816855766692175,30.578808597980746,0.3198733508931678,63.99059857802597
479,31.640689364809884,4,24,0.8531469061249046,0.10452648541820234,two_point,3,0.012659010890632844,26.947433639712028,0.3398733461306119,67.63476110858701
1376,31.688751433446836,2,30,0.8754778021113875,0.1554657924415147,two_point,4,0.012502007553556422,13.918340553745754,0.27987334617217213,80.86804040042257
418,31.688871083881548,4,30,0.8103652933945369,0.2626633738233833,two_point,3,0.009557258584901106,31.521121716764508,0.3598733467289514,63.18561818815118
282,31.70573664412991,4,30,0.8485197012030735,0.20157406785631746,two_point,2,0.013784364282670202,38.035816137548935,0.31987334699510284,56.76152044784569
299,31.732882492436744,4,24,0.8018955957728944,0.21288291668131926,two_point,2,0.011194809960084004,28.568244383391225,0.27987334610722786,66.35052974781178
572,31.83824851415497,0,30,0.804095486159971,0.2787774784442237,two_point,3,0.009040535216864933,29.179180305401314,0.29987334607751814,66.03569189098607
1299,31.84939814774418,0,26,0.7625217142065532,0.13957124422560135,two_point,2,0.009899737302201119,14.917020846787887,0.3198733479592079,80.31130024848544
1096,31.856953289703892,2,20,0.8214714685672512,0.13339428960211916,one_point,2,0.011541322196201359,31.240401110539636,0.29987334670765325,64.03058541186438
662,31.904929659600455,4,28,0.7917965830965362,0.20542063508039568,two_point,3,0.015144593162256345,35.43602961485491,0.27987335055625767,59.9988860133902
634,31.95632918975637,4,20,0.7863477879335111,0.13699762819069833,two_point,3,0.010470354928384048,43.23500802880784,0.23987334699457818,52.3941061934667
1435,31.961000153034888,2,26,0.7983892392386998,0.2651841271739538,one_point,2,0.01298784761257239,13.500526051309512,0.3198733500419738,82.06260105775318
1004,31.969426234150962,2,30,0.784693239184749,0.21592083710414264,two_point,2,0.01787728447345271,13.548567682157621,0.319873370295377,82.0398376499999
285,31.99417107377677,4,30,0.8385009703566688,0.19516517534118996,two_point,2,0.013476043510749734,27.333857107983683,0.2798733502701455,68.36878276307648
837,32.02057618191347,2,26,0.8350712213708881,0.28202650903818255,two_point,2,0.005930888767622751,48.29594371522149,0.29987334591857284,47.46591148460034
1325,32.05095343678229,2,20,0.8015970315339398,0.2565008554223185,one_point,4,0.007834782091352356,38.31840705554944,0.35987334654804604,57.47457990824936
291,32.08527774845604,4,20,0.7907243063396708,0.13971804675978083,two_point,2,0.01113300454105636,36.70579425614076,0.25987334629261805,59.290165642934745
451,32.101430624241175,2,20,0.9016931299201557,0.14103732819758277,uniform,3,0.005279292176901658,30.599218216633016,0.3798733459553481,65.32520031013516
394,32.14768852738342,4,30,0.8026165283063309,0.24884389817886024,two_point,3,0.013333414295244836,45.23980973121999,0.259873350274574,50.943382500655694
